feature_id,feature_name,feature_class,state_name,state_numeric,county_name,county_numeric,map_name,date_created,date_edited,bgn_type,bgn_authority,bgn_date,prim_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec
260479,Mount Gardiner,Summit,California,6,Fresno,19,Mount Clarence King,"01/19/1981",10/12/2018,Official,Board Decision,"01/01/1931",364822N,1182733W,36.8060998,-118.4591916,,,0,0
260515,Gemini,Summit,California,6,Fresno,19,Mount Hilgard,"01/19/1981","03/02/2021",Official,Board Decision,"01/01/1954",371748N,1184901W,37.2965523,-118.8169867,,,0,0
260547,Mount Gibbs,Summit,California,6,Tuolumne,109,Mount Dana,"01/19/1981","04/29/2017",Official,Board Decision,"01/01/1932",375238N,1191243W,37.8770935,-119.2118359,,,0,0
260560,Mount Gilbert,Summit,California,6,Fresno,19,Mount Thompson,"01/19/1981","04/15/2017",Official,Board Decision,"01/01/1911",370811N,1183554W,37.1363688,-118.5982233,,,0,0
260565,Gillett Mountain,Summit,California,6,Tuolumne,109,Kibbie Lake,"01/19/1981","04/29/2017",,,,380650N,1194734W,38.113935,-119.7928336,,,0,0
260576,Giraud Peak,Summit,California,6,Fresno,19,North Palisade,"01/19/1981","04/18/2017",,,,370438N,1183352W,37.0772971,-118.564477,,,0,0
260579,Mount Givens,Summit,California,6,Fresno,19,Mount Givens,"01/19/1981","03/02/2021",Official,Board Decision,"01/01/1944",371643N,1190319W,37.2787129,-119.0552313,,,0,0
260592,Glass Mountain,Summit,California,6,Mono,51,Glass Mountain,"01/19/1981","01/22/2021",,,,374629N,1184231W,37.7748418,-118.7085782,,,0,0
260695,Goodale Mountain,Summit,California,6,Inyo,27,Mount Pinchot,"01/19/1981","04/18/2017",,,,365820N,1182308W,36.9721692,-118.385438,,,0,0
260697,Mount Goode,Summit,California,6,Inyo,27,North Palisade,"01/19/1981","04/18/2017",Official,Board Decision,"01/01/1926",370723N,1183405W,37.1230273,-118.5681061,,,0,0
260724,Mount Gould,Summit,California,6,Fresno,19,Mount Clarence King,"01/19/1981","04/18/2017",,,,364647N,1182240W,36.7797763,-118.3778757,,,0,0
260733,Graham Mountain,Summit,California,6,Madera,39,Bass Lake,"01/19/1981",11/11/2020,,,,372127N,1193102W,37.3574722,-119.5171579,,,0,0
260749,Granite Dome,Summit,California,6,Tuolumne,109,Emigrant Lake,"01/19/1981","04/29/2017",,,,381255N,1194446W,38.2153258,-119.7460174,,,0,0
260765,Granite Stairway,Summit,California,6,Madera,39,Cattle Mountain,"01/19/1981","07/21/2018",,,,373542N,1190732W,37.5949323,-119.1256749,,,0,0
260780,Grapevine Point,Summit,California,6,Tuolumne,109,Duckwall Mountain,"01/19/1981","01/08/2021",,,,375327N,1200728W,37.8909398,-120.1243187,,,0,0
260823,Grey Butte,Summit,California,6,Tuolumne,109,Dunderberg Peak,"01/19/1981","04/29/2017",Official,Board Decision,"01/01/1970",380307N,1192053W,38.0518101,-119.3481821,,,0,0
260863,Green Mountain,Summit,California,6,Madera,39,Cattle Mountain,"01/19/1981",12/12/2020,,,,373408N,1191451W,37.568874,-119.2473619,,,0,0
260992,Mount Guyot,Summit,California,6,Tulare,107,Mount Whitney,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1928",363033N,1182146W,36.5092345,-118.3626407,,,0,0
261003,Mount Haeckel,Summit,California,6,Inyo,27,Mount Darwin,"01/19/1981","04/15/2017",,,,370904N,1183940W,37.1509924,-118.6610067,,,0,0
261097,Harmon Peak,Summit,California,6,Fresno,19,Pine Flat Dam,"01/19/1981","03/12/2021",,,,364707N,1191930W,36.7853076,-119.3250026,,,0,0
261164,Hawkins Peak,Summit,California,6,Alpine,3,Markleeville,"01/19/1981","02/23/2021",,,,384419N,1195221W,38.7385116,-119.8724313,,,0,0
261257,Hells Mountain,Summit,California,6,Tuolumne,109,Cherry Lake North,"01/19/1981","04/29/2017",,,,380424N,1195500W,38.073449,-119.9168002,,,0,0
261271,Mount Henry,Summit,California,6,Fresno,19,Mount Henry,"01/19/1981","04/15/2017",,,,371059N,1184938W,37.1831905,-118.8272365,,,0,0
261288,Hetch Hetchy Dome,Summit,California,6,Tuolumne,109,Lake Eleanor,"01/19/1981","05/06/2017",Official,Board Decision,"01/01/1932",375756N,1194510W,37.9654229,-119.7526811,,,0,0
261323,High Peak,Summit,California,6,Alpine,3,Heenan Lake,"01/19/1981","01/30/2021",,,,384223N,1193740W,38.7063099,-119.6277874,,,0,0
261348,Hildreth Mountain,Summit,California,6,Madera,39,Millerton Lake West,"01/19/1981","08/03/2021",,,,370714N,1193820W,37.1204647,-119.6388919,,,0,0
261351,Mount Hilgard,Summit,California,6,Fresno,19,Mount Hilgard,"01/19/1981","03/02/2021",,,,372137N,1184937W,37.3603118,-118.8269322,,,0,0
261373,Mount Hitchcock,Summit,California,6,Tulare,107,Mount Whitney,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1909",363318N,1181843W,36.5548662,-118.3118521,,,0,0
261382,Hobron Hill,Summit,California,6,Mariposa,43,Jawbone Ridge,"01/19/1981","02/06/2021",,,,374738N,1200643W,37.7939469,-120.1119917,,,0,0
261402,Hogan Mountain,Summit,California,6,Mariposa,43,Fish Camp,"06/14/2000","04/20/2017",Official,Board Decision,"01/01/1990",372909N,1194000W,37.4858708,-119.666682,,,0,0
261450,Mount Hooper,Summit,California,6,Fresno,19,Florence Lake,"01/19/1981","01/15/2021",Official,Board Decision,"01/01/1965",371732N,1185342W,37.2921788,-118.8951063,,,0,0
261461,Mount Hopkins,Summit,California,6,Fresno,19,Mount Abbot,"01/19/1981","02/27/2021",Official,Board Decision,"01/01/1911",372750N,1184848W,37.4637675,-118.8133827,,,0,0
261599,Hughes Mountain,Summit,California,6,Fresno,19,Pine Flat Dam,"01/19/1981","03/12/2021",,,,365025N,1192001W,36.8402933,-119.3335517,,,0,0
261653,Mount Huntington,Summit,California,6,Mono,51,Mount Abbot,"01/19/1981","02/27/2021",Official,Board Decision,"01/01/1911",372811N,1184638W,37.4696338,-118.777226,,,0,0
261655,Hurd Peak,Summit,California,6,Inyo,27,Mount Thompson,"01/19/1981","04/15/2017",Official,Board Decision,"01/01/1920",370827N,1183358W,37.1408984,-118.5660725,,,0,0
261664,Mount Hutton,Summit,California,6,Fresno,19,Mount Henry,"01/19/1981","04/15/2017",Official,Board Decision,"01/01/1973",370732N,1184758W,37.1254936,-118.7995769,,,0,0
261665,Mount Huxley,Summit,California,6,Fresno,19,Mount Darwin,"01/19/1981","04/15/2017",,,,370810N,1184058W,37.1360363,-118.6827388,,,0,0
261681,Mount Ickes,Summit,California,6,Fresno,19,Mount Pinchot,"01/19/1981","04/18/2017",Official,Board Decision,"01/01/1964",365559N,1182621W,36.9329739,-118.4391679,,,0,0
261703,Independence Peak,Summit,California,6,Inyo,27,Kearsarge Peak,"01/19/1981","04/18/2017",,,,364539N,1181955W,36.7609598,-118.3318345,,,0,0
261750,Indian Hill,Summit,California,6,Tulare,107,Miramonte,"01/19/1981","02/26/2021",,,,363803N,1190334W,36.6341441,-119.0594548,,,0,0
261783,Infant Buttes,Summit,California,6,Fresno,19,Florence Lake,"01/19/1981","01/15/2021",,,,371937N,1185621W,37.3268934,-118.9391132,,,0,0
261815,Iron Mountain,Summit,California,6,Mono,51,Crooked Creek,"01/19/1981",12/29/2020,,,,372917N,1180420W,37.4881517,-118.0722034,,,0,0
261816,Iron Mountain,Summit,California,6,Madera,39,Cattle Mountain,"01/19/1981",12/12/2020,,,,373641N,1190953W,37.6114227,-119.164761,,,0,0
261821,Mount Irvine,Summit,California,6,Inyo,27,Mount Whitney,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1926",363321N,1181549W,36.5559097,-118.2635395,,,0,0
261826,Isberg Peak,Summit,California,6,Madera,39,Mount Lyell,"01/19/1981","04/24/2017",Official,Board Decision,"01/01/1932",373904N,1191926W,37.6511723,-119.3237957,,,0,0
261917,Da-ek Dow Go-et Mountain,Summit,California,6,Alpine,3,Carson Pass,"01/19/1981",12/12/2020,Official,Board Decision,"07/09/2020",383812N,1195348W,38.6367048,-119.89664,,,0,0
261959,Joe Devel Peak,Summit,California,6,Tulare,107,Mount Whitney,"01/19/1981","04/14/2017",,,,363055N,1181747W,36.5153256,-118.2963785,,,0,0
261989,Mount Johnson,Summit,California,6,Inyo,27,Mount Thompson,"01/19/1981","04/15/2017",Official,Board Decision,"01/01/1926",370742N,1183511W,37.1284588,-118.5863576,,,0,0
262037,Mount Julius Caesar,Summit,California,6,Fresno,19,Mount Hilgard,"01/19/1981","03/02/2021",Official,Board Decision,"01/01/1978",372124N,1184654W,37.3567335,-118.7816664,,,0,0
262043,Junction Butte,Summit,California,6,Madera,39,Cattle Mountain,"01/19/1981",12/12/2020,,,,373148N,1191150W,37.5300832,-119.1970838,,,0,0
262054,Juniper Mountain,Summit,California,6,Mono,51,Juniper Mountain,"01/19/1981","02/10/2021",,,,374022N,1180830W,37.6728445,-118.1415477,,,0,0
262086,Kearsarge Peak,Summit,California,6,Inyo,27,Kearsarge Peak,"01/19/1981","04/18/2017",,,,364722N,1182050W,36.7894738,-118.3471997,,,0,0
262134,Kennedy Peak,Summit,California,6,Tuolumne,109,Emigrant Lake,"01/19/1981","04/29/2017",,,,381445N,1193917W,38.2457096,-119.6546683,,,0,0
262137,Kennedy Table,Summit,California,6,Madera,39,Millerton Lake East,"01/19/1981","02/25/2021",,,,370721N,1193528W,37.1226102,-119.5910049,,,0,0
262148,Kerckhoff Dome,Summit,California,6,Fresno,19,Huntington Lake,"01/19/1981","02/04/2021",Official,Board Decision,"01/01/1982",371236N,1191400W,37.2100683,-119.2334453,,,0,0
262155,Kettle Peak,Summit,California,6,Tulare,107,Mount Silliman,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1928",364024N,1184400W,36.6734119,-118.7334642,,,0,0
262166,Kid Peak,Summit,California,6,Fresno,19,Marion Peak,"01/19/1981","04/18/2017",,,,365240N,1183305W,36.8779106,-118.5514321,,,0,0
262236,Koip Peak,Summit,California,6,Mono,51,Koip Peak,"01/19/1981","04/29/2017",Official,Board Decision,"01/01/1901",374849N,1191206W,37.8137215,-119.2015443,,,0,0
262307,Mount Lamarck,Summit,California,6,Inyo,27,Mount Darwin,"01/19/1981","04/15/2017",Official,Board Decision,"01/01/1911",371142N,1184014W,37.1948699,-118.6706147,,,0,0
262316,Langille Peak,Summit,California,6,Fresno,19,North Palisade,"01/19/1981","04/18/2017",,,,370603N,1183639W,37.100918,-118.6107443,,,0,0
262357,Laurel Mountain,Summit,California,6,Mono,51,Bloody Mountain,"01/19/1981",11/19/2020,,,,373449N,1185329W,37.5802079,-118.8912702,,,0,0
262359,Lava Butte,Summit,California,6,Fresno,19,Hume,"01/19/1981","04/18/2017",,,,364536N,1185322W,36.7601267,-118.8894206,,,0,0
262382,Mount Le Conte,Summit,California,6,Tulare,107,Mount Whitney,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1932",363230N,1181508W,36.5416166,-118.2522251,,,0,0
262403,Lee Vining Peak,Summit,California,6,Mono,51,Mount Dana,"01/19/1981",10/26/2018,Official,Board Decision,"01/01/1955",375821N,1191155W,37.9724109,-119.1986658,,,0,0
262432,Mount Lewis,Summit,California,6,Mono,51,Koip Peak,"01/19/1981","04/29/2017",Official,Board Decision,"01/01/1930",375033N,1191123W,37.8425738,-119.1897517,,,0,0
262433,Liberty Hill,Summit,California,6,Tuolumne,109,Liberty Hill,"01/19/1981","02/17/2021",,,,382204N,1200603W,38.3678634,-120.1009015,,,0,0
